instrument; direction; t0; take placement stock price; t1; close placement stock price; is closed ?; EXTRA VALUE ...;
SENS;bearish;1611933300;2.5;1611968100;2.44;false;fiability:1;
INTC;bearish;1611919500;55.6;1611968100;55.35;false;fiability:1;
BNGO;bearish;1611921900;10.74;1611942300;10.468400001525879;true;fiability:1;
BNGO;bearish;1611945300;10.93220043182373;1611968100;10.97;false;fiability:1;
NVAX;bearish;1611915900;174.58;1611968100;222.5;false;fiability:1;
DD;bearish;1611932400;81.28500366210938;1611941400;79;true;fiability:1;
DD;bullish;1611942300;78.63500213623047;1611950400;80.19999694824219;true;fiability:1;
DD;bearish;1611951300;80.30999755859375;1611967500;79.5;false;fiability:1;
IPOE;bearish;1611921600;23.75;1611942300;22.052000045776367;true;fiability:1;
IPOE;bearish;1611945600;24.06999969482422;1611968100;26.35;false;fiability:1;
EWZ;bullish;1611942000;34.2400016784668;1611968100;34.25;false;fiability:1;
TSLA;bearish;1611917400;821.08;1611940800;806.7899169921875;true;fiability:1;
TSLA;bullish;1611941100;806.9400024414062;1611968100;788;false;fiability:1;
MUX;bearish;1611918000;1.3;1611953100;1.2100000381469727;true;fiability:1;
MUX;bullish;1611954000;1.18;1611968100;1.25;false;fiability:1;
TOPS;bearish;1611924600;1.84;1611968100;2.08;false;fiability:1;
RIG;bearish;1611918600;3.32;1611968100;3.3;false;fiability:1;
CCIV;bearish;1611932700;23.93000030517578;1611968100;23.08;false;fiability:1;
SIEB;bearish;1611917400;21.28;1611948900;9.199999809265137;true;fiability:1;
SIEB;bullish;1611949200;8.814299583435059;1611968100;7.31;false;fiability:1;
INO;bearish;1611915900;11.53;1611968100;12.9;false;fiability:1;
NXTD;bearish;1611928500;1.54;1611941700;1.3100999593734741;true;fiability:1;
NXTD;bullish;1611942300;1.2152999639511108;1611968100;1.32;false;fiability:1;
TNXP;bearish;1611915300;1.01;1611968100;0.955;false;fiability:1;
XLE;bearish;1611923100;40.7;1611925500;39.84;true;fiability:1;
XLE;bullish;1611940800;39.56809997558594;1611968100;39.4;false;fiability:1;
IAU;bearish;1611920100;17.74;1611953400;17.56999969482422;true;fiability:1;
IAU;bullish;1611953700;17.559999465942383;1611967800;17.6;false;fiability:1;
AG;bearish;1611915600;19.18;1611942300;17.329999923706055;true;fiability:1;
AG;bearish;1611945300;17.90999984741211;1611968100;18.5;false;fiability:1;
AAU;bearish;1611921000;0.5848;1611968100;0.6801;false;fiability:1;
FB;bearish;1611917400;262.65;1611931200;261.29998779296875;true;fiability:1;
FB;bullish;1611931500;261.2406005859375;1611968100;257.52;false;fiability:1;
FUBO;bearish;1611918600;41.92;1611925800;41.14;true;fiability:1;
FUBO;bullish;1611926100;41.01;1611928500;43.76;true;fiability:1;
FUBO;bearish;1611928800;45.05;1611942300;40.540000915527344;true;fiability:1;
FUBO;bearish;1611963300;41.9;1611968100;42.63;false;fiability:1;
AIKI;bearish;1611917100;1.4;1611968100;1.64;false;fiability:1;
TLRY;bearish;1611920400;18.97;1611931200;18.049999237060547;true;fiability:1;
TLRY;bullish;1611931500;18.100000381469727;1611968100;18.04;false;fiability:1;
TRXC;bearish;1611918000;2.9;1611968100;3.09;false;fiability:1;
PLUG;bearish;1611919500;64.34;1611941400;64;true;fiability:1;
PLUG;bullish;1611941700;63.63999938964844;1611968100;63.35;false;fiability:1;
IDEX;bearish;1611921900;3.95;1611941700;3.8499999046325684;true;fiability:1;
IDEX;bullish;1611942300;3.808300018310547;1611968100;3.9;false;fiability:1;
SPCE;bearish;1611928500;45.25;1611968100;43.92;false;fiability:1;
NNDM;bearish;1611921900;14.4;1611941700;13.729999542236328;true;fiability:1;
NNDM;bullish;1611942300;13.510000228881836;1611968100;13.72;false;fiability:1;
HBAN;bearish;1611932700;13.680000305175781;1611940800;13.255000114440918;true;fiability:1;
HBAN;bullish;1611941400;13.222200393676758;1611966900;13.19;false;fiability:1;
GEVO;bearish;1611920100;10.51;1611942300;10.010000228881836;true;fiability:1;
GEVO;bearish;1611954300;10.38;1611968100;10.31;false;fiability:1;
CMCSA;bearish;1611951000;50.099998474121094;1611968100;49.93;false;fiability:1;
SDS;bearish;1611924600;12.3;1611968100;12.6099;false;fiability:1;
C;bearish;1611921900;59.85;1611940800;58.380001068115234;true;fiability:1;
C;bullish;1611941700;58.20000076293945;1611968100;58.01;false;fiability:1;
SRNE;bearish;1611917400;12.84;1611941700;12.720000267028809;true;fiability:1;
SRNE;bullish;1611942000;12.579999923706055;1611968100;12.83;false;fiability:1;
RIOT;bearish;1611918600;24.13;1611930900;22.600000381469727;true;fiability:1;
RIOT;bullish;1611931200;21.829999923706055;1611968100;21.1;false;fiability:1;
BHAT;bearish;1611960600;1.33;1611968100;1.37;false;fiability:1;
M;bearish;1611915300;16.87;1611942300;15.300000190734863;true;fiability:1;
M;bearish;1611966000;15.25;1611968100;15.11;false;fiability:1;
BBD;bullish;1611942300;4.519999980926514;1611959700;4.55;false;fiability:1;
GM;bearish;1611918300;50.4;1611941700;50.2599983215332;true;fiability:1;
GM;bullish;1611942300;49.970001220703125;1611968100;50.67;false;fiability:1;
KMI;bullish;1611940800;14.149999618530273;1611968100;14.09;false;fiability:1;
ABEV;bullish;1611942300;2.7999000549316406;1611968100;2.7999;false;fiability:1;
VZ;bearish;1611945300;54.86249923706055;1611968100;54.77;false;fiability:1;
NCLH;bearish;1611918000;24.26;1611925200;23.66;true;fiability:1;
NCLH;bullish;1611931200;23.23889923095703;1611968100;22.76;false;fiability:1;
SWN;bearish;1611922200;3.75;1611942300;3.718400001525879;true;fiability:1;
SWN;bearish;1611945000;3.805000066757202;1611967800;3.73;true;fiability:1;
ERIC;bearish;1611916500;12.75;1611940200;12.454999923706055;true;fiability:1;
ERIC;bullish;1611940500;12.40999984741211;1611968100;12.75;false;fiability:1;
SNDL;bearish;1611915600;1.01;1611921000;0.81;true;fiability:1;
SNDL;bullish;1611921300;0.8129;1611936900;0.8790000081062317;true;fiability:1;
SNDL;bearish;1611945300;0.8144999742507935;1611968100;0.8169;false;fiability:1;
